order	filename	artist	country	en	id
1	B-3-3.tif		Brazil	boy,child,head,people,shoulder	anak laki-laki,anak,kepala,orang,orang-orang,bahu
2	B-NA-6.tif		Brazil	parrot,bird,macaw	burung,nuri,bayan
3	B-A-10.tif		Brazil	animal,armadillo	binatang
4	B-NA-1.tif		Brazil	peccary,pig,animal,wild pig	binatang,babi
5	CMB0012.tif		Cambodia	dish,food,rice	beras,makanan,nasi,piring
6	CMB0041.tif		Cambodia	boy,cleanse,finger,health,wash,woman,wound	anak laki-laki,membersihkan,jari,kesehatan,cuci,wanita,luka
7	CMB0024.tif		Cambodia	feed,pig,woman,animal	binatang,memberi makanan,babi,wanita
8	CMB0029.tif		Cambodia	child,eating,family,father,mother,talking	anak,makan,keluarga,ayah,ibu,bicara
9	CMB0036.tif		Cambodia	bandage,clinic,finger,health,nurse	balutan,perban,klinik,puskesmas
10	CMB0043.tif		Cambodia	woman,cooking	pot,masak,panci,wanita
11	CMB0048.tif		Cambodia	cough,man,health	batuk,kesehatan,manusia
12	CMB0055.tif		Cambodia	cough,health,man	batuk,kesehatan,manusia
13	CMB0060.tif		Cambodia	fire,cooking,api	masak
14	CMB0010.tif		Cambodia	food,food chart,nutrition	makanan,nutrisi
15	CMB0062.tif		Cambodia	eating,man,woman	makan,manusia,wanita
16	CMB0067.tif		Cambodia	beans,green bean,food	buncis,makanan,kacang panjang
17	CMB0005.tif		Cambodia	bloated,child,family,health,sick,stomach,ill	anak,keluarga,kesehatan,sakit,perut
18	CMB0017.tif		Cambodia	doctor,exam,eye,health	dokter,pemeriksaan,mata,kesehatan
19	CMB0074.tif		Cambodia	basket,rice	beras,keranjang,padi
20	CMB0094.tif		Cambodia	building,sky	gedung,langit
21	CMB0087.tif		Cambodia	flag	bendera
22	CMB0079.tif		Cambodia	hone,machete,man,sharpen	mengasah,parang,manusia,asah
23	CMB0125.tif		Cambodia	man,rock,sit	manusia,batu,duduk
24	CMB0082.tif		Cambodia	Asia,map	peta
25	CMB0106.tif		Cambodia	scale,weigh,hanging scale,mango	timbangan gantung,mangga,timbangan,timbang
26	CMB0113.tif		Cambodia	scale,weigh	timbangan,timbang
27	CMB0111.tif		Cambodia	fish,scale,weigh	ikan,timbangan,timbang
28	CMB0130.tif		Cambodia	transportation,jeep,vehicle	jip,transportasi,pengangkutan,kendaraan
29	CMB0132.tif		Cambodia	transportation,airplane,plane,vehicle	pesawat terbang,transportasi,pengangkutan,kendaraan
30	CMB0144.tif		Cambodia	airport,building,plane	bandara,gedung,lapangan pesawat,pesawat terbang
31	CMB0118.tif		Cambodia	cart,man,talking,transportation,wagon	gerobak,manusia,bicara,transportasi,pengangkutan,gerbong
32	CMB0149.tif		Cambodia	eating,people,woman	makan,orang,orang-orang,wanita
33	CMB0099.tif		Cambodia	bag,scale,weigh,sack	tas,karung,timbangan,timbang
34	CMB0168.tif		Cambodia	tree,palm	kelapa,pohon
35	CMB0156.tif		Cambodia	arrow,crossbow,hunter,man,people,weapon	anak panah,buru (pemburu),manusia,orang,orang-orang,senjata
36	CMB0161.tif		Cambodia	group,hunting,man,people	kelompok,buru (memburu),manusia,orang,orang-orang
37	CMB0175.tif		Cambodia	baby,mother,people,woman,nursing,breast-feeding	bayi,menyusui,ibu,orang,orang-orang,wanita
38	CMB0137.tif		Cambodia	moon,sun	bulan,matahari
39	CMB0163.tif		Cambodia	man,smoking,village	manusia,merokok,desa,kampung
40	CMB0200.tif		Cambodia	bamboo,split	bambu
41	CMB0188.tif		Cambodia	woman,talking,conversation,group	percakapan,kelompok,bicara,wanita
42	CMB0180.tif		Cambodia	baby,carry,family,husband,man,people,walking,wife,woman,pipe,smoking,health	bayi,bawa,keluarga,kesehatan,suami,manusia,orang,orang-orang,pipa tembakau,merokok,berjalan,isteri,wanita
43	CMB0202.tif		Cambodia	map,Ban Lung area	peta
44	CMB0183.tif		Cambodia	blowing nose,child,health,hygiene,people,sick,woman,ill	membersihkan hidung,anak,kesehatan,sakit,orang,orang-orang,wanita
45	CMB0207.tif		Cambodia	animal,climb,tiger,woman	binatang,panjat,naik,harimau,wanita
46	CMB0226.tif		Cambodia	bridge,stream,plank	jembatan,papan,sungai,kali,aer
47	CMB0238.tif		Cambodia	map,river	peta,sungai,kali,aer
48	CMB0233.tif		Cambodia	duck	bebek
49	CMB0219.tif		Cambodia	boy,drink	anak laki-laki,minum
50	CMB0214.tif		Cambodia	animal,attack,mauling,tiger,woman	binatang,harimau,wanita
51	CMB0231.tif		Cambodia	hand,measure	tangan,ukuran
